LON,LAT,EDO,CLAVE,ESTACION,mar-17
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",1
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",2.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",15
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",8.4
-114.839444,31.029167,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-114.3,27.1425,BCS,ASUBS,"Bahía Asunción, B.C.S.",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.8
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",1.5
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.2
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",1.5
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",1.01
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",2.5
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10
-112.111111,24.791667,BCS,SCRBS,"Puerto San Carlos, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-112.332778,26.629167,BCS,SMTBS,"San Martín, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",3.2
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",0
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",0.01
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",24.9
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",1.02
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",4
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",0.02
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",0
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",12.8
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",5
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",0
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",0
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",0
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",22.71
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",0
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",0.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",6.5
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",10.3
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",5.51
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",22
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",1
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",8
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",1.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.6
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",1.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",1
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",3.05
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",8.4
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",17.11
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",0.81
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",2
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",13.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0.02
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",3.51
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",4.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",1.2
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",26.7
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",8.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0.01
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",29.47
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",1.01
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",52.05
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",3.25
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0.81
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",17.22
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",2.8
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",1.5
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",4.8
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",4.7
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",4.71
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",52.05
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",8.01
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",3
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",40.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",0
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",68.1
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",47.71
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",1.7
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",0
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",35.4
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",1.4
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",0.3
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",0
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",0.6
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",0.72
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitán, Chis. PC*",0.5
-92.246111,15.356667,CHIS,CREDMOTOZINTLA,"Cred Motozintla, Chis. SMN*",3.55
-93.15,16.730556,CHIS,CRISTALTV,"Cristal TV Azteca, Chis. SGT*",0.2
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",0
-92.938056,15.881944,CHIS,CUXTEPEQUESHM,"Finca Cuxtepeques hidrométrica, Chis. SGT*",13.8
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",57.71
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",2.6
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",14.6
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",63.01
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",64.51
-92.918333,17.441389,CHIS,FIMADERO,"Francisco I. Madero, Chis. SGT*",41.7
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",47.8
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",102.49
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",15
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",205
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",0
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",112.12
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",73.6
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",43
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",0.1
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",0
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",1.8
-93.28,17.96,CHIS,MACAYOMI,"Macayo Margen Izquierda, Chis. SGT*",1.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",49.6
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",47.8
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",25.51
-93.091389,16.7225,CHIS,MUCH,"Museo de Chiapas de Ciencia y Tecnología, Chis. SGT*",0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",36.6
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",32.6
-93.087778,16.760278,CHIS,PARQUEOTE,"Parque Oriente, Chis. SGT*",0.3
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",0
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",107.82
-93.474444,17.463611,CHIS,PENITAS,"Peñitas, Chis. SGT*",51.3
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",3.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",2.4
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",55.1
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.6
-93.030278,17.413333,CHIS,REFUGIOCP,"El Refugio, Chis. SGT*",26
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0
-94.003889,16.471111,CHIS,RSACP,"Rosendo Salazar, Chis.",0.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",81.7
-93.128889,16.790278,CHIS,SANJUANSEMIN,"San Juan Seminario, Chis. SGT*",0
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",0
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",64.81
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",11.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",7.01
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",11.12
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",0
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",22.2
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",2.8
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",123.3
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0.4
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",0.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",27
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",4.1
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",0
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",67.7
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",58.5
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",6
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",0
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",3.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla, Chis. CFE*",0.3
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",29.7
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",0
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",7.77
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",18.61
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",32
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",9.02
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",25.5
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",17.2
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",2.01
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",18.01
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",20
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",8.5
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",16.6
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",12
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",5.5
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",12
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",16.8
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",15
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",82
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",31.2
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",30.2
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",16.51
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",17
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",14
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",8.32
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",20.1
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",6.31
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",6
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",22.02
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",0
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",1.5
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",0
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",7.9
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",0
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",0
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",0
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",0
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",1.8
-104.1,18.936111,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",0
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",4
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",29.1
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",14.93
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",20.5
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",25.2
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",16.5
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",18.8
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",36.4
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",20.7
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de Méx SGT*",30.4
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",10
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",29.3
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",79.48
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",0
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",12.5
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",11.1
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",21.5
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",7.5
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",17.2
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",14.4
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",0
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",31.8
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",8.9
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",37.26
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",19.6
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",26.5
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",31.95
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",2.2
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",25.4
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",25.8
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",16.5
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",46.07
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",19.8
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",26.6
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",28
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",17.4
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",20.5
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",20.7
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",6.3
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",18.96
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",28.9
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",22.2
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",30
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",19.7
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",22.3
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",35.6
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",23.3
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",13.7
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",27.1
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",16.8
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",7.7
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",10.9
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",16.4
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",31.9
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",17.7
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",14.2
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",26.7
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",8.13
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",12.2
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",21.1
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",14.6
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",17
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",30.9
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",16.9
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",20.8
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",13
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",7.5
-104.7,24,DGO,CAGDR,"Campo Agrícola, Dgo.",28.2
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",21.7
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",23
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",14.5
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",19.3
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",36.9
-104.599722,24.094722,DGO,DURANGOob,"Observatorio de Durango, Dgo. SMN*",20.8
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",18.3
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",10.2
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",24
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",17.5
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",18.2
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",25
-105.015833,25.594167,DGO,LCRDR,"Lázaro Cárdenas, Dgo.",8.3
-103.7475,26.686389,DGO,MAPIMI,"Mapimí, Dgo. SMN*",19.4
-103.85,25.816667,DGO,MPMDR,"Mapimí, Dgo.",9.01
